year,ind,age,sex,life_history,territory
2,121,2,male,floater,
2,122,2,male,floater,
2,123,2,male,floater,
2,124,2,male,floater,
2,125,2,male,floater,
2,126,2,male,floater,
2,127,2,male,floater,
2,128,2,male,floater,
2,129,2,male,floater,
2,130,2,male,floater,
2,131,2,male,floater,
2,132,2,male,floater,
2,133,2,male,floater,
2,134,2,male,floater,
2,135,2,male,floater,
2,136,2,male,floater,
2,137,2,male,floater,
2,138,2,male,floater,
2,139,2,male,floater,
2,140,2,male,floater,
2,141,2,male,floater,
2,142,2,male,floater,
2,143,2,male,floater,
2,144,2,male,floater,
2,145,2,male,floater,
2,146,2,male,floater,
2,147,2,male,floater,
2,148,2,male,floater,
2,149,2,male,floater,
2,150,2,female,floater,
2,151,2,female,floater,
2,152,2,female,floater,
2,153,2,female,floater,
2,154,2,female,floater,
2,155,2,female,floater,
2,156,2,female,floater,
2,157,2,female,floater,
2,158,2,female,floater,
2,159,2,female,floater,
2,160,2,female,floater,
2,161,2,female,floater,
2,162,2,female,floater,
2,163,2,female,floater,
2,164,2,female,floater,
2,165,2,female,floater,
2,166,2,female,floater,
2,167,2,female,floater,
2,168,2,female,floater,
2,169,2,female,floater,
2,170,2,female,floater,
2,171,2,female,floater,
2,172,2,female,floater,
2,173,2,female,floater,
2,174,2,female,floater,
2,175,2,female,floater,
2,176,2,female,floater,
2,177,2,female,floater,
2,178,2,female,floater,
2,179,2,female,floater,
2,180,2,female,primary,5.0
2,182,2,female,floater,
2,183,2,female,floater,
2,184,2,female,floater,
2,185,2,female,floater,
2,186,2,female,floater,
2,187,2,female,floater,
2,188,2,female,floater,
2,189,2,female,floater,
2,190,2,female,floater,
2,191,2,female,floater,
2,192,2,female,floater,
2,193,2,female,floater,
2,194,2,female,floater,
2,195,2,female,floater,
2,196,2,female,floater,
2,197,2,female,floater,
2,198,2,female,floater,
2,199,2,female,floater,
2,200,2,female,floater,
2,201,2,female,floater,
2,202,2,female,floater,
2,203,2,female,floater,
2,204,2,female,floater,
2,205,2,female,floater,
2,206,2,female,floater,
2,207,2,female,floater,
2,208,2,female,floater,
2,209,2,female,floater,
2,210,2,female,primary,3.0
2,211,2,female,floater,
2,212,2,female,floater,
2,213,2,female,floater,
2,215,2,female,floater,
2,216,2,female,floater,
2,217,2,female,floater,
2,218,2,female,floater,
2,219,2,female,floater,
2,220,2,female,floater,
2,221,2,female,floater,
2,222,2,female,floater,
2,223,2,female,floater,
2,224,2,female,floater,
2,225,2,female,floater,
2,226,2,female,floater,
2,227,2,female,floater,
2,229,2,female,floater,
2,230,2,female,floater,
2,231,2,female,floater,
2,232,2,female,floater,
2,233,2,female,floater,
2,234,2,female,floater,
2,235,2,female,floater,
2,236,2,female,floater,
2,237,2,female,floater,
2,238,2,female,floater,
2,239,2,female,floater,
2,240,2,female,floater,
2,241,2,female,floater,
2,242,2,female,floater,
2,243,2,female,floater,
2,244,2,female,floater,
2,245,2,female,floater,
2,246,2,female,floater,
2,247,2,female,floater,
2,248,2,female,floater,
2,249,2,female,floater,
2,250,2,female,floater,
2,251,2,female,floater,
2,252,2,female,floater,
2,253,2,female,floater,
2,254,2,female,floater,
2,256,2,female,floater,
2,257,2,female,floater,
2,258,2,female,floater,
2,259,2,female,floater,
2,260,2,female,floater,
2,261,2,female,floater,
2,262,2,female,floater,
2,263,2,female,floater,
2,264,2,female,floater,
2,265,2,female,floater,
2,266,2,female,floater,
2,267,2,female,floater,
2,268,2,female,floater,
2,269,2,female,floater,
2,270,2,female,floater,
2,271,2,female,floater,
2,272,2,female,floater,
2,273,2,female,floater,
2,274,2,female,floater,
2,275,2,female,floater,
2,276,2,female,floater,
2,277,2,female,floater,
2,278,2,female,floater,
2,279,2,female,floater,
2,280,2,female,floater,
2,281,2,female,floater,
2,282,2,female,floater,
2,283,2,female,floater,
2,284,2,female,floater,
2,285,2,female,floater,
2,286,2,female,floater,
2,287,2,female,floater,
2,288,2,female,floater,
2,289,2,female,floater,
2,290,2,female,primary,4.0
2,291,2,female,floater,
2,292,2,female,floater,
2,293,2,female,floater,
2,294,2,female,floater,
2,295,2,female,floater,
2,296,2,female,floater,
2,297,2,female,floater,
2,298,2,female,floater,
2,299,2,female,floater,
2,300,2,male,floater,
2,301,1,female,subordinate,3.0
2,302,1,male,floater,
2,303,0,female,fledgling,3.0
2,304,0,female,fledgling,3.0
2,305,0,female,fledgling,4.0
2,306,0,male,fledgling,5.0
3,0,3,male,primary,1.0
3,1,3,male,floater,
3,2,3,male,primary,3.0
3,3,3,male,primary,4.0
3,4,3,male,primary,5.0
3,6,3,male,floater,
3,7,3,male,floater,
3,8,3,male,floater,
3,9,3,male,floater,
3,10,3,male,floater,
3,11,3,male,floater,
3,12,3,male,floater,
3,13,3,male,floater,
3,14,3,male,floater,
3,15,3,male,floater,
3,16,3,male,floater,
3,17,3,male,floater,
3,18,3,male,floater,
3,19,3,male,floater,
3,20,3,male,floater,
3,21,3,male,floater,
3,22,3,male,floater,
3,23,3,male,floater,
3,24,3,male,floater,
3,25,3,male,floater,
3,26,3,male,floater,
3,27,3,male,floater,
3,28,3,male,floater,
3,29,3,male,floater,
3,30,3,male,floater,
3,31,3,male,floater,
3,33,3,male,floater,
3,35,3,male,floater,
3,36,3,male,floater,
3,37,3,male,floater,
3,39,3,male,floater,
3,40,3,male,floater,
3,41,3,male,floater,
3,42,3,male,floater,
3,43,3,male,floater,
3,44,3,male,floater,
3,45,3,male,floater,
3,46,3,male,floater,
3,47,3,male,floater,
3,48,3,male,floater,
3,49,3,male,floater,
3,50,3,male,floater,
3,51,3,male,floater,
3,52,3,male,floater,
3,53,3,male,floater,
3,54,3,male,floater,
3,55,3,male,floater,
3,56,3,male,floater,
3,57,3,male,floater,
3,58,3,male,floater,
3,60,3,male,floater,
3,61,3,male,floater,
3,62,3,male,floater,
3,63,3,male,floater,
3,64,3,male,floater,
3,65,3,male,floater,
3,66,3,male,floater,
3,67,3,male,floater,
3,69,3,male,floater,
3,70,3,male,floater,
3,71,3,male,floater,
3,72,3,male,floater,
3,73,3,male,floater,
3,74,3,male,floater,
3,75,3,male,floater,
3,76,3,male,floater,
3,77,3,male,floater,
3,78,3,male,floater,
3,80,3,male,floater,
3,81,3,male,floater,
3,82,3,male,floater,
3,83,3,male,floater,
3,84,3,male,floater,
3,85,3,male,floater,
3,86,3,male,floater,
3,87,3,male,floater,
3,88,3,male,floater,
3,89,3,male,floater,
3,90,3,male,floater,
3,91,3,male,floater,
3,92,3,male,floater,
3,93,3,male,floater,
3,94,3,male,floater,
3,95,3,male,floater,
3,96,3,male,floater,
3,97,3,male,floater,
3,98,3,male,floater,
3,99,3,male,floater,
3,100,3,male,floater,
3,101,3,male,floater,
3,102,3,male,floater,
3,103,3,male,floater,
3,104,3,male,floater,
3,105,3,male,floater,
3,106,3,male,floater,
3,107,3,male,floater,
3,108,3,male,floater,
3,109,3,male,floater,
3,110,3,male,floater,
3,111,3,male,floater,
3,112,3,male,floater,
3,113,3,male,floater,
3,114,3,male,floater,
3,115,3,male,floater,
3,116,3,male,floater,
